배송거리(km)	q					
	N=0	N=5	N=10	N=15	N=20	N=25
0.5	207	191	175	159	143	127
1	207	191	175	159	143	127
1.5	207	191	175	159	143	127
2	207	191	175	159	143	127
2.5	194	177.8	163.4	148.4	133.6	118.7
3	181	165.5	151.9	138	124.2	110.3
3.5	168	155.1	142.2	129.2	116.2	103.3
4	157	146.1	133.8	121.5	109.3	97.2
4.5	147	138.1	126.4	114.8	103.2	91.8
5	142	131	119.7	108.8	97.8	87
5.5	134	124.6	113.7	103.4	92.9	82.6
6	131	118.7	108.2	98.4	88.4	78.7
6.5	124	113.3	103.2	93.8	84.2	75
7	121	108.3	98.5	89.6	80.4	71.6
7.5	116.6	103.6	94.2	85.7	76.8	68.5
8	112.4	99.3	90.1	82	73.5	65.5
8.5	108.5	95.2	86.3	78.5	70.4	62.8
9	104.8	91.3	82.7	75.3	67.4	60.1
9.5	101.4	87.7	79.3	72.2	64.6	57.7
10	98.1	84.2	76.1	69.2	62	55.3
10.5	94.9	80.9	73	66.5	59.4	53.1
11	91.9	77.8	70.1	63.8	57	51
11.5	89.1	74.8	67.3	61.3	54.7	48.9
12	86.3	71.9	64.6	58.8	52.5	47
12.5	83.7	69.1	62	56.5	50.4	45.1
13	81.2	66.5	59.5	54.3	48.4	43.3
